appid,discount_start,playtime_filter,positive_count_before,negative_count_before,positive_count_during,negative_count_during,before_days,during_days,response_rate_positive,response_rate_negative,positive_rate_before,positive_rate_during,positive_rate_delta,sentiment_group
1468810,2025-01-26,10h,609,327,184,143,30,14,-0.352569,-0.06291,0.650641,0.562691,-0.08795,down
1468810,2025-03-13,10h,294,121,59,30,30,7,-0.139942,0.062574,0.708434,0.662921,-0.045512,down
1468810,2025-05-20,10h,197,61,46,13,30,7,0.000725,-0.086651,0.763566,0.779661,0.016095,up
1468810,2025-06-26,10h,227,75,108,31,30,14,0.019509,-0.114286,0.751656,0.776978,0.025323,up
1468810,2025-07-22,10h,236,74,43,26,30,6,-0.088983,0.756757,0.76129,0.623188,-0.138102,down
1468810,2025-09-23,10h,191,51,84,27,30,13,0.014901,0.221719,0.789256,0.756757,-0.032499,down
1468810,2025-12-04,10h,318,51,47,9,30,7,-0.366577,-0.243697,0.861789,0.839286,-0.022503,down
1468810,2025-12-18,10h,321,61,119,38,30,18,-0.382139,0.038251,0.840314,0.757962,-0.082352,down
1468810,2026-01-26,10h,222,53,192,55,30,14,0.853282,1.22372,0.807273,0.777328,-0.029945,down
1468810,2026-03-19,10h,244,71,51,12,30,7,-0.104215,-0.275654,0.774603,0.809524,0.034921,up
1332010,2024-05-23,10h,397,5,184,3,30,11,0.264026,0.636364,0.987562,0.983957,-0.003605,neutral
1332010,2024-06-27,10h,494,9,318,3,30,14,0.37941,-0.285714,0.982107,0.990654,0.008547,up
1332010,2024-08-01,10h,595,9,212,5,30,11,-0.028266,0.515152,0.985099,0.976959,-0.008141,down
1332010,2024-10-28,10h,297,9,104,1,30,7,0.500722,-0.52381,0.970588,0.990476,0.019888,up
1332010,2024-11-27,10h,401,8,130,0,30,7,0.389384,-1.0,0.98044,1.0,0.01956,up
1332010,2024-12-05,10h,441,7,638,5,30,28,0.550049,-0.234694,0.984375,0.992224,0.007849,up
1332010,2025-01-18,10h,741,10,149,3,30,7,-0.13823,0.285714,0.986684,0.980263,-0.006421,down
1332010,2025-02-24,10h,483,6,129,1,30,7,0.144632,-0.285714,0.98773,0.992308,0.004578,neutral
1332010,2025-03-13,10h,468,5,109,4,30,7,-0.001832,2.428571,0.989429,0.964602,-0.024827,down
